STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT_TO_MURDER,CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,RAPE,CUSTODIAL_RAPE,OTHER_RAPE,KIDNAPPING_&_ABDUCTION,KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,KIDNAPPING_AND_ABDUCTION_OF_OTHERS,DACOITY,PREPARATION_AND_ASSEMBLY_FOR_DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,OTHER_THEFT,RIOTS,CRIMINAL_BREACH_OF_TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS_HURT,DOWRY_DEATHS,ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,INSULT_TO_MODESTY_OF_WOMEN,CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,CAUSING_DEATH_BY_NEGLIGENCE,OTHER_IPC_CRIMES,TOTAL_IPC_CRIMES,Crime_Rate
Arunachal Pradesh,Papum Pare,1999,11,6,2,8,1,11,15,7,8,5,1,31,60,107,28,80,11,10,7,2,1,82,0,8,1,3,1,2,130,496,41.333333333333336
Madhya Pradesh,Umariya,1999,17,12,2,24,1,23,3,1,1,2,1,17,132,125,0,127,28,3,14,1,10,129,1,60,3,21,1,1,1231,1850,102.77777777777777
Haryana,Rohtak,1999,56,27,1,30,0,28,13,5,5,7,3,27,230,364,202,162,35,20,58,5,12,189,15,24,22,39,0,142,533,1854,32.526315789473685
Uttar Pradesh,Faizabad,1999,77,50,17,23,2,24,27,25,1,4,0,42,99,245,37,205,51,105,4,1,12,181,18,24,19,51,0,148,775,1969,25.243589743589745
Assam,Sonitpur,1999,86,24,1,54,2,53,86,80,9,26,2,20,177,356,4,350,87,20,23,2,34,452,0,41,2,101,1,146,576,2311,26.563218390804597
Manipur,Total,1999,209,167,4,20,1,22,92,60,33,21,19,21,77,216,69,144,129,31,64,20,63,202,2,23,0,7,1,9,1095,2487,11.842857142857143
Lakshadweep,Total,1999,1,1,1,1,0,1,1,2,2,1,2,0,0,9,1,12,1,1,1,2,0,4,2,1,0,1,2,1,19,38,19.0
Odisha,Bhadrak,1999,26,11,1,33,2,36,19,20,1,1,1,18,80,95,9,88,54,11,9,2,8,37,22,27,3,81,1,46,769,1356,50.22222222222222
Uttarakhand,Almora,1999,20,13,3,4,1,3,1,1,2,8,2,7,10,53,6,49,5,5,13,1,3,26,1,4,0,7,2,2,68,253,12.047619047619047
Jammu & Kashmir,Reasi,1999,38,73,3,9,1,7,10,10,3,2,1,2,7,22,1,20,6,6,2,2,11,1,1,7,2,1,1,2,189,391,10.025641025641026
Uttar Pradesh,Meerut,1999,276,237,10,29,0,27,158,97,63,33,1,212,269,1200,435,770,193,98,191,4,7,74,33,60,123,238,0,237,1690,5379,19.418772563176894
Uttar Pradesh,Saharanpur,1999,103,130,15,39,2,41,77,51,25,12,1,63,78,428,135,295,159,61,160,3,7,55,19,45,94,194,1,49,1072,2870,27.596153846153847
Gujarat,Palanpur,1999,51,46,1,16,2,16,42,34,4,13,0,49,211,421,65,356,96,53,55,6,23,1371,4,51,2,150,1,132,1102,3885,74.71153846153847
Uttar Pradesh,Bahraich,1999,42,47,25,15,2,12,26,21,7,4,1,20,80,170,22,146,51,34,35,0,16,177,21,16,16,62,1,52,410,1316,30.6046511627907
Karnataka,Udupi,1999,15,12,2,2,2,2,2,0,4,0,2,14,93,110,40,71,105,2,16,2,4,304,1,17,2,16,2,5,1232,1959,122.4375
Kerala,Thrissur,1999,43,77,22,42,2,41,16,8,11,15,2,81,406,518,188,327,576,40,388,9,6,1329,3,224,15,198,1,2,6458,10466,237.86363636363637
Puducherry,Total,1999,24,34,1,10,2,10,6,5,2,1,0,3,113,527,283,244,98,4,23,1,33,635,3,34,28,2,1,168,2322,4068,162.72
Karnataka,Gadag,1999,24,19,0,1,1,4,3,4,0,4,2,13,55,57,18,37,109,2,22,1,0,167,2,10,1,19,0,2,394,899,35.96
Tripura,Total,1999,239,25,1,101,0,100,94,35,56,25,2,64,200,261,4,254,139,5,18,4,33,413,16,57,0,229,1,29,857,2799,11.6625
Uttar Pradesh,Sitapur,1999,161,140,58,85,2,84,98,45,51,3,1,95,237,824,42,784,123,58,135,1,17,292,82,72,33,108,1,163,1947,4730,29.19753086419753
Bihar,Madhubani,1999,35,67,4,11,2,11,35,12,24,25,0,19,88,98,1,98,196,10,9,0,2,614,13,43,1,18,1,112,1502,2898,80.5
Bihar,Vaishali,1999,108,150,13,18,2,21,92,27,62,21,2,45,224,261,23,241,293,85,118,1,10,435,60,54,0,178,2,50,1857,4075,37.38532110091743
Maharashtra,Gondia,1999,41,18,3,25,1,24,16,15,2,3,5,15,237,324,29,294,22,19,30,2,18,329,6,87,23,80,2,96,618,2005,47.73809523809524
Bihar,Munger,1999,49,110,1,13,1,10,47,15,31,4,2,28,55,155,16,138,219,0,31,0,10,172,7,1,0,38,2,28,788,1758,35.16
Andhra Pradesh,Visakha Rural,1999,60,31,0,13,1,11,12,11,2,6,2,2,74,164,0,165,137,19,40,1,31,1477,2,69,47,97,1,214,685,3181,52.14754098360656
Uttar Pradesh,Ambedkar Nagar,1999,44,51,8,21,1,18,30,31,0,6,1,24,96,118,8,107,65,17,44,4,13,243,12,16,8,85,2,39,445,1378,30.622222222222224
Madhya Pradesh,Ratlam,1999,58,58,1,69,2,70,19,15,10,6,8,52,232,470,103,364,43,11,35,0,18,448,4,126,27,53,2,69,1532,3342,56.644067796610166
Punjab,Ferozepur,1999,51,52,3,23,2,20,13,5,5,2,8,6,66,114,45,72,2,40,86,1,5,334,9,19,2,20,2,114,141,1111,21.365384615384617
Bihar,Gopalganj,1999,106,91,3,15,2,15,60,20,41,34,7,71,80,151,26,128,225,47,76,1,4,44,20,0,4,155,2,98,807,2097,19.598130841121495
Chhattisgarh,Kawardha,1999,19,14,4,35,2,37,1,1,0,2,1,4,69,43,3,40,9,3,3,2,6,167,1,45,5,17,1,13,235,683,34.15
Maharashtra,Amravati Rural,1999,74,21,0,42,2,40,29,23,3,1,2,34,358,1033,25,1004,111,14,30,3,24,885,3,100,36,92,2,128,640,3657,48.76
Rajasthan,Sikar,1999,47,30,0,15,2,14,50,23,25,2,0,12,214,380,73,309,940,19,207,2,66,523,15,30,0,114,1,160,1517,4332,90.25
Tripura,North,1999,37,11,2,27,1,31,18,11,10,6,1,17,42,45,1,49,31,1,2,1,7,64,5,15,2,60,2,13,161,565,14.868421052631579
Tamil Nadu,Sivagangai,1999,24,50,1,6,1,6,18,12,7,6,0,8,161,330,50,277,86,7,23,4,34,959,2,16,0,10,2,123,1162,3032,121.28
Gujarat,Amreli,1999,41,13,0,1,1,3,37,33,6,5,1,24,125,200,34,167,51,16,23,3,17,361,1,19,2,95,0,71,1079,2192,52.19047619047619
Jharkhand,Jamtara,1999,20,29,1,17,2,17,15,11,5,5,4,10,23,68,23,46,63,0,10,0,4,147,5,12,0,20,2,0,22,474,22.571428571428573
Rajasthan,Bikaner,1999,23,103,0,37,2,33,38,33,0,2,0,2,160,430,89,338,107,32,197,1,26,962,12,55,2,155,0,104,1518,3951,164.625
Bihar,Samastipur,1999,108,117,18,18,2,21,76,28,48,34,14,60,92,249,26,222,312,39,31,0,43,253,9,19,9,33,30,22,1262,2855,26.192660550458715
Madhya Pradesh,Jhabua,1999,125,118,4,43,1,46,81,80,4,3,4,19,163,270,11,255,75,4,11,2,47,634,7,127,2,22,1,1,1654,3417,27.11904761904762
Sikkim,East,1999,11,9,5,7,2,6,6,2,3,0,2,1,59,48,4,47,1,1,11,1,1,21,2,2,6,1,1,3,89,280,23.333333333333332
Karnataka,Davanagere,1999,59,38,8,23,1,22,23,14,10,4,2,24,244,333,113,220,298,13,46,4,1,685,6,84,5,76,1,1,1327,3300,55.0
Jammu & Kashmir,Udhampur,1999,22,27,1,10,1,10,13,14,1,1,0,0,69,117,9,106,48,3,8,1,6,19,1,12,10,10,1,2,626,1010,43.91304347826087
Assam,Lakhimpur,1999,25,23,3,65,1,63,74,60,11,13,0,48,123,193,2,194,105,26,73,0,2,384,0,24,1,93,2,88,420,1777,68.34615384615384
Tamil Nadu,Villupuram,1999,67,91,5,36,1,38,53,35,16,7,1,5,148,341,70,266,481,11,27,4,74,758,14,77,20,43,1,559,4302,7118,104.67647058823529
Uttarakhand,Almora,1999,16,13,1,6,2,5,0,1,2,9,2,5,10,55,4,49,4,4,11,2,2,29,4,7,1,7,2,0,68,250,14.705882352941176
Manipur,Total,1999,207,169,6,19,2,19,93,63,34,18,17,20,73,217,70,148,131,35,64,22,64,200,2,21,2,6,2,6,1099,2491,11.975961538461538
Himachal Pradesh,G.R.P.,1999,1,0,2,1,2,2,1,1,0,0,2,1,1,2,1,2,3,1,1,2,1,2,0,0,1,2,0,1,2,4,2.0
Chhattisgarh,Korba,1999,32,15,1,47,2,46,12,14,1,1,2,9,220,307,72,234,66,7,49,2,9,513,3,88,5,33,0,66,633,2112,64.0
Punjab,Batala,1999,18,22,3,8,1,9,6,4,4,1,1,1,20,27,5,18,1,5,45,2,1,97,6,0,2,19,2,42,71,391,20.57894736842105
Odisha,Nowrangpur,1999,18,23,3,14,0,14,12,5,9,14,1,14,47,81,5,82,74,3,2,0,26,29,0,42,6,14,2,2,272,686,36.10526315789474
Haryana,Faridabad,1999,66,36,6,36,0,39,78,53,26,5,26,42,235,668,443,224,134,119,59,8,14,304,19,46,242,107,2,20,3529,5806,86.65671641791045
Madhya Pradesh,Damoh,1999,41,77,2,67,2,64,16,12,6,3,3,25,114,188,20,169,56,5,18,2,34,1044,28,190,2,56,1,2,919,2879,68.54761904761905
Uttar Pradesh,Ghaziabad,1999,229,380,16,31,2,31,110,80,32,9,1,115,227,1355,658,703,121,85,256,15,10,135,32,56,138,138,1,139,1471,5077,22.07391304347826
Bihar,Khagaria,1999,71,26,4,6,1,4,32,7,29,6,2,29,17,88,8,81,165,6,4,1,2,3,13,5,1,3,2,59,354,897,12.458333333333334
Haryana,Rohtak,1999,56,29,1,30,2,29,13,8,8,5,4,27,230,367,205,160,39,18,59,6,11,187,15,26,21,39,2,146,533,1854,32.526315789473685
Madhya Pradesh,Datiya,1999,52,53,1,13,2,13,25,8,18,5,1,28,87,103,12,92,29,1,6,2,11,424,10,55,0,18,2,40,907,1865,35.18867924528302
Karnataka,Dakshin Kannada,1999,33,38,0,4,2,2,7,6,5,3,2,8,212,220,109,109,128,17,54,6,10,413,0,26,2,23,1,5,1845,3045,89.55882352941177
Uttar Pradesh,Etawah,1999,84,93,9,20,1,21,91,24,72,12,1,34,46,164,46,120,90,44,39,1,10,199,27,27,28,52,2,117,750,1941,22.83529411764706
Uttar Pradesh,Mainpuri,1999,138,151,21,11,2,13,57,29,27,37,1,71,87,189,26,166,122,39,84,7,30,273,40,34,5,65,1,7,688,2146,15.43884892086331
Karnataka,Tumkur,1999,79,55,5,8,1,4,19,2,15,10,2,27,236,390,90,297,232,14,25,5,71,1098,26,51,2,46,2,3,1738,4141,51.7625
Karnataka,Kolar,1999,68,72,6,17,2,15,23,17,1,5,1,25,156,283,64,219,373,7,47,1,1,666,20,44,0,40,0,1,1386,3231,46.82608695652174
Manipur,Churachandpur,1999,34,22,0,2,2,3,1,2,2,1,2,0,6,10,1,10,2,2,3,1,5,3,2,0,0,1,2,0,46,134,3.8285714285714287
Rajasthan,Pali,1999,42,54,1,26,1,24,79,59,17,2,1,13,193,295,68,223,136,64,187,1,38,53,17,117,0,195,1,134,3000,4640,107.90697674418605
Uttar Pradesh,Gorakhpur,1999,95,76,31,14,1,11,61,52,8,6,2,36,137,193,50,141,116,63,101,1,10,380,17,24,34,50,1,136,1014,2596,27.041666666666668
Uttar Pradesh,Kaushambi,1999,79,45,12,24,1,28,29,21,9,2,0,20,117,145,11,136,62,13,31,1,19,279,26,46,11,72,2,104,323,1457,18.2125
Maharashtra,Nagpur Commr.,1999,110,71,1,41,2,39,63,53,14,12,55,169,1389,2668,798,1868,236,75,263,12,15,1080,6,75,58,218,2,221,3076,9913,89.30630630630631
Rajasthan,Bikaner,1999,19,102,0,36,1,34,38,36,1,0,1,5,160,429,90,338,109,34,194,0,28,963,15,52,1,152,0,104,1520,3951,197.55
Tamil Nadu,Thoothugudi,1999,71,96,1,12,1,12,40,1,40,5,1,34,169,485,58,426,114,9,41,1,45,504,1,92,48,37,1,197,3287,5288,73.44444444444444
Odisha,Balasore,1999,16,11,1,56,2,57,36,31,5,14,3,41,175,163,19,148,76,11,29,1,26,173,38,92,11,69,2,2,1307,2341,137.7058823529412
Jharkhand,Giridih,1999,64,67,4,44,2,44,17,11,6,54,1,28,118,113,54,57,172,16,49,2,19,40,31,12,2,57,2,64,954,1919,29.523076923076925
Maharashtra,Latur,1999,42,15,2,6,1,7,20,24,2,2,4,30,155,279,60,225,213,20,47,3,26,990,40,48,9,148,2,132,805,3045,70.81395348837209
Bihar,Madhepura,1999,57,24,7,9,2,13,48,15,34,19,0,33,13,67,17,54,155,10,18,1,9,3,6,5,2,8,1,17,548,1062,18.310344827586206
Kerala,Cbcid,1999,24,6,1,3,2,2,2,2,1,3,0,2,5,5,2,5,4,20,36,118,1,7,1,1,2,3,2,1,15,249,9.96
Sikkim,East,1999,13,8,3,6,0,6,6,2,5,2,1,3,59,49,5,46,1,1,8,2,3,23,1,2,8,1,2,3,86,280,20.0
Meghalaya,Ri-Bhoi,1999,22,1,1,2,0,4,8,4,7,13,0,13,12,20,4,20,1,2,1,1,3,8,2,1,0,1,2,2,65,176,7.6521739130434785
Uttar Pradesh,Kanpur Nagar,1999,211,197,28,47,1,46,211,175,35,32,0,128,361,1307,638,674,239,178,301,4,29,1040,65,106,214,354,2,385,1376,6808,32.113207547169814
